TensorFlow Version: 1.8.0
Default GPU Device: /device:GPU:0
Tests Passed
Tests Passed
Tests Passed
Tests Passed
Tests Passed
Epoch: 88  Mean loss: 0.1011656313363848  Last loss: 0.0993984
Epoch: 89  Mean loss: 0.10057039276279252  Last loss: 0.10013933
Epoch: 90  Mean loss: 0.10041083138564537  Last loss: 0.10315967
Epoch: 91  Mean loss: 0.10054555638083096  Last loss: 0.10410382
Epoch: 92  Mean loss: 0.10056850095761233  Last loss: 0.10454569
Epoch: 93  Mean loss: 0.09969535482854679  Last loss: 0.096142024
Epoch: 94  Mean loss: 0.09926167528690963  Last loss: 0.10188294
Epoch: 95  Mean loss: 0.09887920872404657  Last loss: 0.100796945
Epoch: 96  Mean loss: 0.09883404484596746  Last loss: 0.096484594
Epoch: 97  Mean loss: 0.09834313148568416  Last loss: 0.09558981
Epoch: 98  Mean loss: 0.09790439929427772  Last loss: 0.09564996
Epoch: 99  Mean loss: 0.09813354575428469  Last loss: 0.10236753
Epoch: 100  Mean loss: 0.09768622458494942  Last loss: 0.093638815
Training Finished. Saving test images to: ./runs\1529531042.6002617
